num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.927349857167766	429
64	64	0.8	0.928294608476838	330
64	256	0.5	0.929762604301328	274
64	256	0.8	0.929410458898959	333
64	512	0.5	0.929440031585165	241
64	512	0.8	0.930107798202134	320
64	1024	0.5	0.931616542883851	209
64	1024	0.8	0.931725961822814	301
64	2048	0.5	0.930941287080116	245
64	2048	0.8	0.933178748837256	317
128	64	0.5	0.928039323223315	243
128	64	0.8	0.929622153244892	242
128	256	0.5	0.927239017203622	224
128	256	0.8	0.925843263226864	117
128	512	0.5	0.929535048241885	188
128	512	0.8	0.930966635096864	251
128	1024	0.5	0.930977619237455	211
128	1024	0.8	0.9305394057964	145
128	2048	0.5	0.931321161676564	284
128	2048	0.8	0.931106625280268	220
256	64	0.5	0.925792912848142	242
256	64	0.8	0.927375128372342	158
256	256	0.5	0.925301007698884	183
256	256	0.8	0.927087889255283	182
256	512	0.5	0.928580849035662	186
256	512	0.8	0.929280799952684	163
256	1024	0.5	0.93020208514322	189
256	1024	0.8	0.928155424821239	156
256	2048	0.5	0.93143637993451	188
256	2048	0.8	0.929740136741028	233
384	64	0.5	0.926252096012142	246
384	64	0.8	0.925708803519841	183
384	256	0.5	0.924010409585545	170
384	256	0.8	0.92612881247614	177
384	512	0.5	0.927893956187873	179
384	512	0.8	0.929874942102825	159
384	1024	0.5	0.929101904404179	187
384	1024	0.8	0.928078919897963	173
384	2048	0.5	0.929823324323266	176
384	2048	0.8	0.929699963975091	189
512	64	0.5	0.926162686643976	226
512	64	0.8	0.925289178624402	261
512	256	0.5	0.92511235700454	207
512	256	0.8	0.926397962326702	178
512	512	0.5	0.926762820143531	128
512	512	0.8	0.927131825817646	193
512	1024	0.5	0.92669353556442	119
512	1024	0.8	0.928749029286177	155
512	2048	0.5	0.929823324323266	176
512	2048	0.8	0.929699963975091	189
