num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.928364699583755	243
64	64	0.8	0.928086639521245	267
64	256	0.5	0.928595251317905	254
64	256	0.8	0.927323088125837	261
64	512	0.5	0.929507127017376	206
64	512	0.8	0.929203258065086	212
64	1024	0.5	0.930037169410013	213
64	1024	0.8	0.929306877685065	239
64	2048	0.5	0.929596152324682	303
64	2048	0.8	0.930880375027748	210
128	64	0.5	0.926486641979235	238
128	64	0.8	0.926365470777961	243
128	256	0.5	0.927135858456674	197
128	256	0.8	0.928774530927269	209
128	512	0.5	0.927832276013786	163
128	512	0.8	0.927830394115573	137
128	1024	0.5	0.931259558314649	190
128	1024	0.8	0.928059371200198	138
128	2048	0.5	0.930135488990127	239
128	2048	0.8	0.930853990046679	234
256	64	0.5	0.926326258164174	174
256	64	0.8	0.925940161781797	178
256	256	0.5	0.925790531670811	172
256	256	0.8	0.926606968246616	147
256	512	0.5	0.927780581422054	180
256	512	0.8	0.927639131807383	180
256	1024	0.5	0.928231161622795	186
256	1024	0.8	0.927807849743102	165
256	2048	0.5	0.930358781974027	212
256	2048	0.8	0.930394192385302	231
384	64	0.5	0.926929425744521	221
384	64	0.8	0.925871184451373	194
384	256	0.5	0.925459701646162	152
384	256	0.8	0.926469474458801	136
384	512	0.5	0.929161971522655	166
384	512	0.8	0.927360188404895	179
384	1024	0.5	0.929504937870475	169
384	1024	0.8	0.926041745879219	143
384	2048	0.5	0.930468392943419	277
384	2048	0.8	0.929968806576965	264
512	64	0.5	0.924939222368933	211
512	64	0.8	0.927007466911237	257
512	256	0.5	0.924987690849443	222
512	256	0.8	0.928432870386373	172
512	512	0.5	0.926879497832745	130
512	512	0.8	0.926539911220492	220
512	1024	0.5	0.929016873329815	169
512	1024	0.8	0.92548428154119	124
512	2048	0.5	0.930468392943419	277
512	2048	0.8	0.929968806576965	264
