Feature	Gain	Cover	Frequency
ctrx_quarter	0.131997464092827	0.0428338598703517	0.0100486431131592
mcaja_ahorro	0.118797483076582	0.0329296456731519	0.00921658986175115
cdescubierto_preacordado_delta2	0.0381598476668918	0.00301432088310134	0.0017921146953405
mtarjeta_visa_consumo	0.0378018312965484	0.0248055473476075	0.00908858166922683
mcuenta_corriente	0.0276881341604977	0.0081612661930581	0.0124807987711214
foto_mes	0.0248408304431673	0.0338647217084688	0.0247055811571941
mprestamos_personales	0.020299857314019	0.0222852473579702	0.0108166922683052
ctarjeta_visa_transacciones	0.0200740769769564	0.0190010859914993	0.00678443420378904
cpayroll_trx	0.0191676026498435	0.0238651806489504	0.00601638504864311
ctrx_quarter_lag1	0.0180871420281902	0.00560759272571526	0.00601638504864311
mcuentas_saldo	0.0175972405284914	0.0391871764898628	0.0160650281618024
Visa_msaldototal	0.0160262200251711	0.00514334242983821	0.0050563236047107
cdescubierto_preacordado	0.0140599604959849	0.00727279362440063	0.00409626216077829
Visa_status	0.0113936267419303	0.00641883859568183	0.00249615975422427
Master_status	0.00989480640661226	0.00155153906520647	0.000640040962621608
mpasivos_margen	0.00976556601220305	0.0108901335571756	0.00787250384024578
mprestamos_personales_delta2	0.00938584561597307	0.0121131210967109	0.00736047107014849
cproductos	0.00928036003438173	0.0277483726676445	0.0101126472094214
mpayroll_sobre_edad	0.00909720665980974	0.0233976205660451	0.0062083973374296
mpayroll	0.00905963750977245	0.020247761614347	0.00665642601126472
mcuentas_saldo_lag1	0.00779054983914358	0.00353503572935497	0.0050563236047107
ctrx_quarter_delta2	0.00726473164025264	0.006156082305529	0.011136712749616
mcaja_ahorro_lag1	0.00701838724947368	0.0047132990951422	0.00646441372247824
Visa_mpagominimo	0.00644738897652931	0.0171664298255232	0.00972862263184844
ctrx_quarter_delta1	0.00618394415173311	0.0109982108015731	0.0119047619047619
mrentabilidad_annual_lag2	0.0050828324108164	0.0029419910039106	0.00876856118791603
mactivos_margen	0.0050572522511095	0.00885300418810542	0.00966461853558628
ccomisiones_mantenimiento_delta2	0.00501898322947744	0.00335309569559841	0.0050563236047107
Visa_status_delta2	0.00468801279751776	0.00175620213996957	0.000640040962621608
mcuentas_saldo_delta2	0.00460498828059883	0.0124232493902344	0.0100486431131592
Master_mfinanciacion_limite	0.00456286063696218	0.00129973796195445	0.00441628264208909
cproductos_delta2	0.00430710421695721	0.0149006170706985	0.0047363031233999
ccomisiones_mantenimiento	0.00428384573370741	0.00375054491376085	0.0029441884280594
cliente_edad_lag2	0.0040590586946843	0.00309510966202039	0.0080005120327701
mprestamos_personales_lag2	0.00394487639725499	0.00152240960875455	0.0032642089093702
ctarjeta_visa	0.00386860499780232	0.00170685925209681	0.00121607782898106
cprestamos_personales_delta2	0.00377290450452726	0.0125193539484233	0.00377624167946749
ctarjeta_master_delta2	0.0037549144531697	0.00116628568367366	0.000320020481310804
mtransferencias_recibidas	0.00374589387013505	0.00836501085396154	0.00595238095238095
cliente_edad	0.00369624777366478	0.0049658878860744	0.00896057347670251
Visa_mpagominimo_delta1	0.00367336137649086	0.00454758409535608	0.00582437275985663
ctrx_quarter_lag2	0.00364503275288485	0.00201286009548217	0.00467229902713774
mcuentas_saldo_delta1	0.00334436788742787	0.00852920626599255	0.00838453661034306
chomebanking_transacciones	0.00330445402376429	0.00203325671008445	0.00691244239631337
mttarjeta_visa_debitos_automaticos_delta2	0.00329800549583808	0.00412085138033915	0.0080005120327701
Visa_mconsumototal	0.00324479280750479	0.00221248313480326	0.00377624167946749
ctarjeta_visa_delta2	0.00322152198535756	0.000811836219401288	0.000384024577572965
ctarjeta_master	0.00317171581488864	0.000712646689906806	0.000704045058883769
mrentabilidad_annual_lag1	0.00317158820890797	0.00227933500421818	0.00659242191500256
Visa_Fvencimiento	0.00312548288674138	0.00134521901530217	0.00646441372247824
Master_fechaalta	0.00309895886032467	0.00286594000818419	0.00627240143369176
mcuenta_corriente_lag1	0.00303364573394933	0.00556949645253196	0.00595238095238095
Visa_mpagominimo_lag1	0.00303363073437981	0.00431837280897865	0.00480030721966206
mcuenta_corriente_delta2	0.00303171971030637	0.00603396906617922	0.00640040962621608
Visa_fechaalta	0.00301473569290977	0.00571540518715052	0.00716845878136201
mprestamos_personales_delta1	0.00298927635373672	0.00952367778258904	0.00480030721966206
mcuenta_corriente_lag2	0.0029587612519762	0.010643703051743	0.00556835637480799
mcomisiones_lag2	0.00293936863855816	0.00219615401947972	0.00704045058883769
mactivos_margen_delta2	0.00289385650456358	0.00248162169352755	0.00441628264208909
mrentabilidad_annual_delta1	0.00287653017972908	0.00853629378981254	0.00710445468509985
mactivos_margen_lag1	0.00284631921734439	0.00637869067086642	0.00646441372247824
cproductos_delta1	0.00283072522765285	0.00593721004444209	0.00345622119815668
cliente_edad_lag1	0.00280825804575566	0.00316962358432436	0.00729646697388633
numero_de_cliente	0.00279623313818429	0.000953061293130811	0.00697644649257553
mtarjeta_master_consumo	0.00277136621023767	0.00404758227101812	0.00352022529441884
mttarjeta_visa_debitos_automaticos_lag2	0.0027592863807991	0.00313075794177902	0.00569636456733231
Master_Fvencimiento_lag2	0.00273968191594588	0.00190011084730716	0.00678443420378904
mrentabilidad_annual_delta2	0.00273301504554627	0.00355302931367712	0.00678443420378904
mcuentas_saldo_lag2	0.00268189610092746	0.00195417153475277	0.00576036866359447
ccomisiones_mantenimiento_delta1	0.0026452415166125	0.00394846851274869	0.00364823348694316
mrentabilidad	0.00257211001259097	0.00388646933234022	0.00518433179723502
Visa_cconsumos	0.00253998150882996	0.00712051344567133	0.00480030721966206
mcomisiones	0.00253971406425149	0.00108681748896262	0.00544034818228367
kmes	0.0025338011633362	0.000690207582831492	0.00236815156169995
Visa_mfinanciacion_limite	0.00252955162348767	0.00167487130536363	0.00454429083461342
mrentabilidad_annual	0.00252015179756009	0.00164795420215299	0.00544034818228367
Visa_fechaalta_lag2	0.00250187215928603	0.00272407296066881	0.00640040962621608
