gan_acum,gan_suavizada,envio,celda,semilla
75.25,74.94,4350,A,100103
74.625,74.565,4375,A,100103
74,74.19,4400,A,100103
73.375,73.815,4425,A,100103
73.75,73.4575,4450,A,100103
73.125,73.11,4475,A,100103
72.5,72.7975,4500,A,100103
72.875,72.485,4525,A,100103
72.25,72.13,4550,A,100103
71.625,71.755,4575,A,100103
71,71.3925,4600,A,100103
70.375,71.1375,4625,A,100103
70.75,70.8475,4650,A,100103
71.125,70.535,4675,A,100103
70.5,70.2225,4700,A,100103
69.875,69.8525,4725,A,100103
69.25,69.4775,4750,A,100103
68.625,69.1025,4775,A,100103
69,68.7275,4800,A,100103
69.375,68.3525,4825,A,100103
68.75,67.96,4850,A,100103
68.125,67.5275,4875,A,100103
67.5,67.09,4900,A,100103
66.875,66.6525,4925,A,100103
66.25,66.215,4950,A,100103
65.625,65.8125,4975,A,100103
65,65.425,5000,A,100103
64.375,64.965,5025,A,100103
63.75,64.5275,5050,A,100103
64.125,64.09,5075,A,100103
63.5,63.6875,5100,A,100103
62.875,63.465,5125,A,100103
62.25,63.2775,5150,A,100103
62.625,63.09,5175,A,100103
62,62.9025,5200,A,100103
62.375,62.715,5225,A,100103
61.75,62.5275,5250,A,100103
61.125,62.3075,5275,A,100103
63.5,62.07,5300,A,100103
63.875,61.89,5325,A,100103
63.25,61.765,5350,A,100103
62.625,61.605,5375,A,100103
62,61.4175,5400,A,100103
61.375,61.2525,5425,A,100103
60.75,61.065,5450,A,100103
60.125,60.885,5475,A,100103
60.5,60.76,5500,A,100103
60.875,60.545,5525,A,100103
60.25,60.295,5550,A,100103
59.625,60.045,5575,A,100103
59,59.795,5600,A,100103
59.375,59.56,5625,A,100103
58.75,59.38,5650,A,100103
59.125,59.255,5675,A,100103
60.5,59.1175,5700,A,100103
59.875,58.9225,5725,A,100103
59.25,58.6725,5750,A,100103
58.625,58.4225,5775,A,100103
58,58.1725,5800,A,100103
58.375,57.865,5825,A,100103
58.75,57.5575,5850,A,100103
58.125,57.3,5875,A,100103
57.5,57.01,5900,A,100103
56.875,56.635,5925,A,100103
56.25,56.3225,5950,A,100103
55.625,56.0725,5975,A,100103
55,55.8225,6000,A,100103
54.375,55.5575,6025,A,100103
54.75,55.2375,6050,A,100103
54.125,54.8625,6075,A,100103
54.5,54.4875,6100,A,100103
53.875,54.1125,6125,A,100103
55.25,53.7375,6150,A,100103
54.625,53.3625,6175,A,100103
54,52.9875,6200,A,100103
53.375,52.64,6225,A,100103
52.75,52.3225,6250,A,100103
52.125,51.9475,6275,A,100103
51.5,51.515,6300,A,100103
50.875,51.1025,6325,A,100103
50.25,50.665,6350,A,100103
49.625,50.165,6375,A,100103
49,49.6975,6400,A,100103
49.375,49.2875,6425,A,100103
48.75,48.9125,6450,A,100103
48.125,48.5525,6475,A,100103
47.5,48.24,6500,A,100103
47.875,47.9275,6525,A,100103
47.25,47.615,6550,A,100103
46.625,47.3025,6575,A,100103
47,47.0025,6600,A,100103
47.375,46.725,6625,A,100103
46.75,46.4125,6650,A,100103
47.125,46.1075,6675,A,100103
46.5,45.8575,6700,A,100103
45.875,45.5825,6725,A,100103
45.25,45.27,6750,A,100103
44.625,44.9575,6775,A,100103
45,44.6125,6800,A,100103
44.375,44.21,6825,A,100103
43.75,43.7725,6850,A,100103
44.125,43.32,6875,A,100103
43.5,42.82,6900,A,100103
42.875,42.32,6925,A,100103
42.25,41.82,6950,A,100103
41.625,41.35,6975,A,100103
41,40.9,7000,A,100103
40.375,40.4,7025,A,100103
39.75,39.9,7050,A,100103
39.125,39.3925,7075,A,100103
38.5,38.8725,7100,A,100103
37.875,38.3725,7125,A,100103
37.25,37.8725,7150,A,100103
37.625,37.3725,7175,A,100103
37,36.8725,7200,A,100103
36.375,36.3725,7225,A,100103
35.75,35.8825,7250,A,100103
35.125,35.4925,7275,A,100103
35.5,35.1175,7300,A,100103
34.875,34.7425,7325,A,100103
34.25,34.3675,7350,A,100103
33.625,33.9625,7375,A,100103
33,33.525,7400,A,100103
32.375,33.0875,7425,A,100103
32.75,32.7075,7450,A,100103
33.125,32.3325,7475,A,100103
32.5,31.915,7500,A,100103
31.875,31.4775,7525,A,100103
31.25,31.04,7550,A,100103
30.625,30.6025,7575,A,100103
30,30.165,7600,A,100103
29.375,29.7275,7625,A,100103
29.75,29.28,7650,A,100103
29.125,28.7325,7675,A,100103
28.5,28.2225,7700,A,100103
27.875,27.7225,7725,A,100103
27.25,27.2225,7750,A,100103
26.625,26.765,7775,A,100103
26,26.3275,7800,A,100103
25.375,25.89,7825,A,100103
24.75,25.395,7850,A,100103
24.125,24.895,7875,A,100103
24.5,24.4125,7900,A,100103
23.875,23.975,7925,A,100103
23.25,23.5375,7950,A,100103
23.625,23.1,7975,A,100103
23,22.6625,8000,A,100103
22.375,22.225,8025,A,100103
21.75,21.7875,8050,A,100103
21.125,21.35,8075,A,100103
21.5,20.86,8100,A,100103
20.875,20.36,8125,A,100103
20.25,19.86,8150,A,100103
19.625,19.3175,8175,A,100103
19,18.755,8200,A,100103
18.375,18.1925,8225,A,100103
17.75,17.63,8250,A,100103
17.125,17.0675,8275,A,100103
16.5,16.4875,8300,A,100103
15.875,15.8625,8325,A,100103
15.25,15.2725,8350,A,100103
14.625,14.71,8375,A,100103
14,14.1475,8400,A,100103
13.375,13.585,8425,A,100103
12.75,13.0225,8450,A,100103
12.125,12.485,8475,A,100103
11.5,11.985,8500,A,100103
10.875,11.485,8525,A,100103
11.25,10.985,8550,A,100103
10.625,10.485,8575,A,100103
9.99999999999998,9.98499999999998,8600,A,100103
9.37499999999998,9.48499999999998,8625,A,100103
8.74999999999998,8.98499999999998,8650,A,100103
9.12499999999998,8.48499999999998,8675,A,100103
8.49999999999998,7.98499999999998,8700,A,100103
7.87499999999998,7.48499999999998,8725,A,100103
7.24999999999998,6.94999999999998,8750,A,100103
6.62499999999998,6.38749999999998,8775,A,100103
5.99999999999998,5.82499999999998,8800,A,100103
5.37499999999998,5.26249999999998,8825,A,100103
4.74999999999998,4.69999999999998,8850,A,100103
4.12499999999998,4.11249999999998,8875,A,100103
3.49999999999998,3.48749999999998,8900,A,100103
2.87499999999998,2.86249999999998,8925,A,100103
2.24999999999998,2.23749999999998,8950,A,100103
1.62499999999998,1.61999999999998,8975,A,100103
0.999999999999983,1.05749999999998,9000,A,100103
0.374999999999983,0.494999999999983,9025,A,100103
-0.250000000000017,-0.0675000000000173,9050,A,100103
-0.875000000000017,-0.630000000000017,9075,A,100103
-1.50000000000002,-1.19250000000002,9100,A,100103
-2.12500000000002,-1.75500000000002,9125,A,100103
-2.75000000000002,-2.30250000000002,9150,A,100103
-2.37500000000002,-2.80250000000002,9175,A,100103
-3.00000000000002,-3.30250000000002,9200,A,100103
-3.62500000000002,-3.80250000000002,9225,A,100103
-4.25000000000002,-4.30250000000002,9250,A,100103
-4.87500000000002,-4.80250000000002,9275,A,100103
-5.50000000000002,-5.30250000000002,9300,A,100103
-6.12500000000002,-5.80250000000002,9325,A,100103
-5.75000000000002,-6.30250000000002,9350,A,100103
-6.37500000000002,-6.81000000000002,9375,A,100103
-7.00000000000002,-7.37250000000002,9400,A,100103
-7.62500000000002,-7.93500000000002,9425,A,100103
-8.25000000000002,-8.49750000000002,9450,A,100103
-8.87500000000002,-9.06000000000002,9475,A,100103
-9.50000000000002,-9.62250000000002,9500,A,100103
-10.125,-10.185,9525,A,100103
-10.75,-10.7625,9550,A,100103
-11.375,-11.3275,9575,A,100103
-12,-11.89,9600,A,100103
-12.625,-12.4525,9625,A,100103
-13.25,-13.015,9650,A,100103
-13.875,-13.5775,9675,A,100103
-14.5,-14.14,9700,A,100103
-15.125,-14.7025,9725,A,100103
-15.75,-15.265,9750,A,100103
-15.375,-15.8275,9775,A,100103
-16,-16.39,9800,A,100103
-16.625,-16.9525,9825,A,100103
-17.25,-17.515,9850,A,100103
-17.875,-18.0775,9875,A,100103
-18.5,-18.635,9900,A,100103
-19.125,-19.135,9925,A,100103
-19.75,-19.635,9950,A,100103
-20.375,-20.195,9975,A,100103
-21,-20.7575,10000,A,100103
-21.625,-21.32,10025,A,100103
-22.25,-21.8825,10050,A,100103
-22.875,-22.445,10075,A,100103
-22.5,-23.0075,10100,A,100103
-23.125,-23.57,10125,A,100103
-23.75,-24.1325,10150,A,100103
-24.375,-24.695,10175,A,100103
-25,-25.2575,10200,A,100103
-25.625,-25.82,10225,A,100103
-26.25,-26.3825,10250,A,100103
-26.875,-26.945,10275,A,100103
-27.5,-27.5125,10300,A,100103
-28.125,-28.1375,10325,A,100103
-28.75,-28.7625,10350,A,100103
-29.375,-29.3875,10375,A,100103
-30,-30.0125,10400,A,100103
-30.625,-30.6375,10425,A,100103
-31.25,-31.2625,10450,A,100103
-31.875,-31.8875,10475,A,100103
-32.5,-32.5125,10500,A,100103
-33.125,-33.1375,10525,A,100103
-33.75,-33.7625,10550,A,100103
-34.375,-34.3875,10575,A,100103
-35,-35.005,10600,A,100103
-35.625,-35.5675,10625,A,100103
-36.25,-36.13,10650,A,100103
-36.875,-36.6925,10675,A,100103
-37.5,-37.255,10700,A,100103
-38.125,-37.8175,10725,A,100103
-38.75,-38.38,10750,A,100103
-39.375,-38.9425,10775,A,100103
-39,-39.505,10800,A,100103
-39.625,-40.0675,10825,A,100103
-40.25,-40.6125,10850,A,100103
-40.875,-41.1125,10875,A,100103
-41.5,-41.6125,10900,A,100103
-42.125,-42.1125,10925,A,100103
-42.75,-42.6125,10950,A,100103
-43.375,-43.1125,10975,A,100103
-44,-43.62,11000,A,100103
-44.625,-44.1825,11025,A,100103
-44.25,-44.745,11050,A,100103
-44.875,-45.3075,11075,A,100103
-45.5,-45.87,11100,A,100103
-46.125,-46.4325,11125,A,100103
-46.75,-46.995,11150,A,100103
-47.375,-47.5575,11175,A,100103
-48,-48.12,11200,A,100103
-48.625,-48.6825,11225,A,100103
-49.25,-49.2625,11250,A,100103
-49.875,-49.8875,11275,A,100103
-50.5,-50.5125,11300,A,100103
-51.125,-51.1375,11325,A,100103
-51.75,-51.7625,11350,A,100103
-52.375,-52.3875,11375,A,100103
-53,-53.0125,11400,A,100103
-53.625,-53.6375,11425,A,100103
-54.25,-54.2625,11450,A,100103
-54.875,-54.8875,11475,A,100103
-55.5,-55.495,11500,A,100103
-56.125,-56.0575,11525,A,100103
-56.75,-56.62,11550,A,100103
-57.375,-57.1825,11575,A,100103
-58,-57.745,11600,A,100103
-58.625,-58.3075,11625,A,100103
-59.25,-58.87,11650,A,100103
-59.875,-59.4325,11675,A,100103
-59.5,-59.995,11700,A,100103
-60.125,-60.5575,11725,A,100103
-60.75,-61.12,11750,A,100103
-61.375,-61.6825,11775,A,100103
-62,-62.245,11800,A,100103
-62.625,-62.8075,11825,A,100103
-63.25,-63.37,11850,A,100103
-63.875,-63.9325,11875,A,100103
-64.5,-64.5125,11900,A,100103
-65.125,-65.1375,11925,A,100103
-65.75,-65.7625,11950,A,100103
-66.375,-66.3875,11975,A,100103
-67,-67.0125,12000,A,100103
-67.625,-67.6375,12025,A,100103
-68.25,-68.2625,12050,A,100103
-68.875,-68.8875,12075,A,100103
-69.5,-69.5125,12100,A,100103
-70.125,-70.1375,12125,A,100103
-70.75,-70.7625,12150,A,100103
-71.375,-71.3875,12175,A,100103
-72,-72.0125,12200,A,100103
-72.625,-72.6375,12225,A,100103
-73.25,-73.25,12250,A,100103
-73.875,-73.8125,12275,A,100103
-74.5,-74.375,12300,A,100103
-75.125,-74.9375,12325,A,100103
-75.75,-75.5,12350,A,100103
-76.375,-76.0625,12375,A,100103
-77,-76.625,12400,A,100103
-77.625,-77.1875,12425,A,100103
-77.25,-77.75,12450,A,100103
-77.875,-78.3125,12475,A,100103
-78.5,-78.875,12500,A,100103
-79.125,-79.4375,12525,A,100103
-79.75,-80,12550,A,100103
-80.375,-80.5275,12575,A,100103
-81,-81.0275,12600,A,100103
-81.625,-81.5275,12625,A,100103
-82.25,-82.04,12650,A,100103
-82.875,-82.6025,12675,A,100103
-83.5,-83.165,12700,A,100103
-84.125,-83.7275,12725,A,100103
-84.75,-84.29,12750,A,100103
-84.375,-84.8525,12775,A,100103
-85,-85.415,12800,A,100103
-85.625,-85.9775,12825,A,100103
-86.25,-86.54,12850,A,100103
-86.875,-87.1025,12875,A,100103
-87.5,-87.665,12900,A,100103
-88.125,-88.2275,12925,A,100103
-88.75,-88.79,12950,A,100103
-89.375,-89.325,12975,A,100103
-90,-89.8875,13000,A,100103
-90.625,-90.45,13025,A,100103
-91.25,-91.0125,13050,A,100103
-91.875,-91.575,13075,A,100103
-92.5,-92.1375,13100,A,100103
-93.125,-92.7,13125,A,100103
-93.75,-93.2625,13150,A,100103
-93.375,-93.825,13175,A,100103
-94,-94.3875,13200,A,100103
-94.625,-94.95,13225,A,100103
-95.25,-95.5125,13250,A,100103
-95.875,-96.075,13275,A,100103
-96.5,-96.6375,13300,A,100103
-97.125,-97.2,13325,A,100103
-97.75,-97.7625,13350,A,100103
-98.375,-98.3875,13375,A,100103
-99,-99.0125,13400,A,100103
-99.625,-99.6375,13425,A,100103
-100.25,-100.2625,13450,A,100103
-100.875,-100.8875,13475,A,100103
-101.5,-101.5125,13500,A,100103
-102.125,-102.1375,13525,A,100103
-102.75,-102.7625,13550,A,100103
-103.375,-103.3875,13575,A,100103
-104,-104.0125,13600,A,100103
-104.625,-104.6375,13625,A,100103
-105.25,-105.2625,13650,A,100103
-105.875,-105.8875,13675,A,100103
-106.5,-106.5125,13700,A,100103
-107.125,-107.1375,13725,A,100103
-107.75,-107.7625,13750,A,100103
-108.375,-108.3875,13775,A,100103
-109,-109.0125,13800,A,100103
-109.625,-109.6375,13825,A,100103
-110.25,-110.2625,13850,A,100103
-110.875,-110.8875,13875,A,100103
-111.5,-111.5125,13900,A,100103
-112.125,-112.1375,13925,A,100103
-112.75,-112.7625,13950,A,100103
-113.375,-113.3875,13975,A,100103
-114,-114.0125,14000,A,100103
-114.625,-114.6375,14025,A,100103
-115.25,-115.2625,14050,A,100103
-115.875,-115.8875,14075,A,100103
-116.5,-116.5125,14100,A,100103
-117.125,-117.1375,14125,A,100103
-117.75,-117.7625,14150,A,100103
-118.375,-118.3275,14175,A,100103
-119,-118.89,14200,A,100103
-119.625,-119.4525,14225,A,100103
-120.25,-120.015,14250,A,100103
-120.875,-120.5775,14275,A,100103
-121.5,-121.14,14300,A,100103
-122.125,-121.7025,14325,A,100103
-122.75,-122.265,14350,A,100103
-122.375,-122.8275,14375,A,100103
-123,-123.39,14400,A,100103
-123.625,-123.9525,14425,A,100103
-124.25,-124.515,14450,A,100103
-124.875,-125.0775,14475,A,100103
-125.5,-125.64,14500,A,100103
-126.125,-126.2025,14525,A,100103
-126.75,-126.765,14550,A,100103
-127.375,-127.3875,14575,A,100103
-128,-128.0125,14600,A,100103
-128.625,-128.6375,14625,A,100103
-129.25,-129.2625,14650,A,100103
-129.875,-129.8875,14675,A,100103
-130.5,-130.5125,14700,A,100103
-131.125,-131.1375,14725,A,100103
-131.75,-131.7625,14750,A,100103
-132.375,-132.3875,14775,A,100103
-133,-133.0125,14800,A,100103
-133.625,-133.6375,14825,A,100103
-134.25,-134.2625,14850,A,100103
-134.875,-134.8875,14875,A,100103
-135.5,-135.5125,14900,A,100103
-136.125,-136.1375,14925,A,100103
-136.75,-136.7625,14950,A,100103
-137.375,-137.3875,14975,A,100103
-138,-138.0125,15000,A,100103
-138.625,-138.6375,15025,A,100103
-139.25,-139.2625,15050,A,100103
-139.875,-139.8875,15075,A,100103
-140.5,-140.5125,15100,A,100103
-141.125,-141.1375,15125,A,100103
-141.75,-141.7625,15150,A,100103
-142.375,-142.3875,15175,A,100103
-143,-143.0125,15200,A,100103
-143.625,-143.6375,15225,A,100103
-144.25,-144.2625,15250,A,100103
-144.875,-144.8875,15275,A,100103
-145.5,-145.5125,15300,A,100103
-146.125,-146.1375,15325,A,100103
-146.75,-146.7625,15350,A,100103
-147.375,-147.3875,15375,A,100103
-148,-148.0125,15400,A,100103
-148.625,-148.6375,15425,A,100103
-149.25,-149.2625,15450,A,100103
-149.875,-149.8875,15475,A,100103
-150.5,-150.5125,15500,A,100103
-151.125,-151.1375,15525,A,100103
-151.75,-151.7625,15550,A,100103
-152.375,-152.3875,15575,A,100103
-153,-153.0125,15600,A,100103
-153.625,-153.6375,15625,A,100103
-154.25,-154.2625,15650,A,100103
-154.875,-154.8875,15675,A,100103
-155.5,-155.5125,15700,A,100103
-156.125,-156.1375,15725,A,100103
-156.75,-156.7625,15750,A,100103
-157.375,-157.3875,15775,A,100103
-158,-158.0125,15800,A,100103
-158.625,-158.635,15825,A,100103
-159.25,-159.1975,15850,A,100103
-159.875,-159.76,15875,A,100103
-160.5,-160.3225,15900,A,100103
-161.125,-160.885,15925,A,100103
-161.75,-161.4475,15950,A,100103
-162.375,-162.01,15975,A,100103
-163,-162.5725,16000,A,100103
-162.625,-163.135,16025,A,100103
-163.25,-163.6975,16050,A,100103
-163.875,-164.26,16075,A,100103
-164.5,-164.7325,16100,A,100103
-165.125,-165.17,16125,A,100103
-165.75,-165.6075,16150,A,100103
-166.375,-166.045,16175,A,100103
-167,-166.4825,16200,A,100103
-167.625,-166.9225,16225,A,100103
-168.25,-167.4225,16250,A,100103
-168.875,-167.9225,16275,A,100103
-167.5,-168.4225,16300,A,100103
-168.125,-168.9225,16325,A,100103
-168.75,-169.4225,16350,A,100103
-169.375,-169.9225,16375,A,100103
-170,-170.4225,16400,A,100103
-170.625,-170.9225,16425,A,100103
-171.25,-171.4225,16450,A,100103
-171.875,-171.9225,16475,A,100103
-172.5,-172.5125,16500,A,100103
-173.125,-173.1375,16525,A,100103
-173.75,-173.7625,16550,A,100103
-174.375,-174.3875,16575,A,100103
-175,-175.0125,16600,A,100103
-175.625,-175.6375,16625,A,100103
-176.25,-176.2625,16650,A,100103
-176.875,-176.8875,16675,A,100103
-177.5,-177.5125,16700,A,100103
-178.125,-178.1375,16725,A,100103
-178.75,-178.7625,16750,A,100103
-179.375,-179.3875,16775,A,100103
-180,-180.0125,16800,A,100103
-180.625,-180.6375,16825,A,100103
-181.25,-181.2625,16850,A,100103
-181.875,-181.8875,16875,A,100103
-182.5,-182.5125,16900,A,100103
-183.125,-183.1375,16925,A,100103
-183.75,-183.7625,16950,A,100103
-184.375,-184.3775,16975,A,100103
-185,-184.94,17000,A,100103
-185.625,-185.5025,17025,A,100103
-186.25,-186.065,17050,A,100103
-186.875,-186.6275,17075,A,100103
-187.5,-187.19,17100,A,100103
-188.125,-187.7525,17125,A,100103
-188.75,-188.315,17150,A,100103
-188.375,-188.8775,17175,A,100103
-189,-189.44,17200,A,100103
-189.625,-190.0025,17225,A,100103
-190.25,-190.565,17250,A,100103
-190.875,-191.1275,17275,A,100103
-191.5,-191.69,17300,A,100103
-192.125,-192.2525,17325,A,100103
-192.75,-192.815,17350,A,100103
-193.375,-193.3875,17375,A,100103
-194,-194.0125,17400,A,100103
-194.625,-194.6375,17425,A,100103
-195.25,-195.2625,17450,A,100103
-195.875,-195.8875,17475,A,100103
-196.5,-196.5125,17500,A,100103
-197.125,-197.1375,17525,A,100103
-197.75,-197.7625,17550,A,100103
-198.375,-198.3875,17575,A,100103
-199,-199.0125,17600,A,100103
-199.625,-199.6375,17625,A,100103
-200.25,-200.2625,17650,A,100103
-200.875,-200.8875,17675,A,100103
-201.5,-201.5125,17700,A,100103
-202.125,-202.1375,17725,A,100103
-202.75,-202.7625,17750,A,100103
-203.375,-203.3875,17775,A,100103
-204,-204.0125,17800,A,100103
-204.625,-204.6375,17825,A,100103
-205.25,-205.2625,17850,A,100103
-205.875,-205.8875,17875,A,100103
-206.5,-206.5125,17900,A,100103
-207.125,-207.1375,17925,A,100103
-207.75,-207.7625,17950,A,100103
-208.375,-208.3875,17975,A,100103
-209,-209.0125,18000,A,100103
-209.625,-209.6375,18025,A,100103
-210.25,-210.2625,18050,A,100103
-210.875,-210.8875,18075,A,100103
-211.5,-211.5125,18100,A,100103
-212.125,-212.1375,18125,A,100103
-212.75,-212.7625,18150,A,100103
-213.375,-213.3875,18175,A,100103
-214,-214.0125,18200,A,100103
-214.625,-214.6375,18225,A,100103
-215.25,-215.2625,18250,A,100103
-215.875,-215.8875,18275,A,100103
-216.5,-216.5125,18300,A,100103
-217.125,-217.1375,18325,A,100103
-217.75,-217.7625,18350,A,100103
-218.375,-218.3875,18375,A,100103
-219,-219.0125,18400,A,100103
-219.625,-219.6375,18425,A,100103
-220.25,-220.2625,18450,A,100103
-220.875,-220.8875,18475,A,100103
-221.5,-221.5125,18500,A,100103
-222.125,-222.1375,18525,A,100103
-222.75,-222.7625,18550,A,100103
-223.375,-223.3875,18575,A,100103
-224,-224.0125,18600,A,100103
-224.625,-224.6375,18625,A,100103
-225.25,-225.2625,18650,A,100103
-225.875,-225.8875,18675,A,100103
-226.5,-226.5125,18700,A,100103
-227.125,-227.1375,18725,A,100103
-227.75,-227.7625,18750,A,100103
