num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.927387034258997	414
64	64	0.8	0.92787506039357	197
64	256	0.5	0.928788395524308	256
64	256	0.8	0.927155099905752	301
64	512	0.5	0.92945155341096	229
64	512	0.8	0.928173629305994	194
64	1024	0.5	0.92895546199833	254
64	1024	0.8	0.928566830814278	172
64	2048	0.5	0.930794230176891	262
64	2048	0.8	0.930895161370852	270
128	64	0.5	0.925215669375832	279
128	64	0.8	0.9269182495735	241
128	256	0.5	0.928289385249144	159
128	256	0.8	0.928858371412968	206
128	512	0.5	0.929945993361892	198
128	512	0.8	0.928664382272672	188
128	1024	0.5	0.929277765871891	175
128	1024	0.8	0.929325082169821	181
128	2048	0.5	0.930545512364071	216
128	2048	0.8	0.930628431103706	160
256	64	0.5	0.924472665236424	226
256	64	0.8	0.92622678640148	231
256	256	0.5	0.927240553447061	173
256	256	0.8	0.927110740876442	180
256	512	0.5	0.927304499580221	187
256	512	0.8	0.927993504762739	126
256	1024	0.5	0.927791488750473	180
256	1024	0.8	0.928056183495061	170
256	2048	0.5	0.92833731604445	249
256	2048	0.8	0.929799819798644	249
384	64	0.5	0.924981545875686	257
384	64	0.8	0.926080574432147	207
384	256	0.5	0.926951931710907	278
384	256	0.8	0.924831608516012	167
384	512	0.5	0.927045335312015	121
384	512	0.8	0.925726470319393	177
384	1024	0.5	0.927175032664376	136
384	1024	0.8	0.927193275555218	182
384	2048	0.5	0.92974098167492	270
384	2048	0.8	0.929722777190165	227
512	64	0.5	0.924602631431387	253
512	64	0.8	0.924926164299699	169
512	256	0.5	0.924402382099077	183
512	256	0.8	0.924397696556587	139
512	512	0.5	0.927172689893131	143
512	512	0.8	0.925690061349882	209
512	1024	0.5	0.9276067554769	190
512	1024	0.8	0.926635542374587	176
512	2048	0.5	0.92974098167492	270
512	2048	0.8	0.929722777190165	227
