num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.927745247822951	340
64	64	0.8	0.929066378774646	314
64	256	0.5	0.929975604454184	190
64	256	0.8	0.930677744518107	309
64	512	0.5	0.931579711447395	203
64	512	0.8	0.930425070878432	251
64	1024	0.5	0.93131163696724	219
64	1024	0.8	0.929980635651448	288
64	2048	0.5	0.931793594940229	287
64	2048	0.8	0.930770802464442	261
128	64	0.5	0.927658949347749	288
128	64	0.8	0.926045317645215	236
128	256	0.5	0.926607275495304	218
128	256	0.8	0.927953792869833	224
128	512	0.5	0.930741114559978	206
128	512	0.8	0.929718859769394	146
128	1024	0.5	0.931091109221532	201
128	1024	0.8	0.928962490312065	238
128	2048	0.5	0.930195248859915	215
128	2048	0.8	0.931330840010231	264
256	64	0.5	0.92674753452131	238
256	64	0.8	0.924602400994871	187
256	256	0.5	0.924355833922867	209
256	256	0.8	0.926194525289255	151
256	512	0.5	0.928000648294731	177
256	512	0.8	0.930580845963175	195
256	1024	0.5	0.92856337426654	184
256	1024	0.8	0.929095836242594	190
256	2048	0.5	0.931047710344372	257
256	2048	0.8	0.929554097660532	195
384	64	0.5	0.924211734288262	414
384	64	0.8	0.926783789866477	240
384	256	0.5	0.925006817080262	282
384	256	0.8	0.92472553090653	150
384	512	0.5	0.928283777960591	183
384	512	0.8	0.926362321478911	145
384	1024	0.5	0.927338757808917	211
384	1024	0.8	0.927454436939895	148
384	2048	0.5	0.930456947929797	232
384	2048	0.8	0.93117084025603	195
512	64	0.5	0.923274702602473	272
512	64	0.8	0.926403953676115	194
512	256	0.5	0.925442265283126	492
512	256	0.8	0.926112912356544	418
512	512	0.5	0.926959920176791	152
512	512	0.8	0.926754524428959	153
512	1024	0.5	0.927405584398526	155
512	1024	0.8	0.926470319392692	179
512	2048	0.5	0.930456947929797	232
512	2048	0.8	0.93117084025603	195
