Feature	Gain	Cover	Frequency
ctrx_quarter	0.140650810567426	0.0365353928971294	0.0097607202084814
mcaja_ahorro	0.0644122986718477	0.0248799653327785	0.00715470267709074
mcuentas_saldo	0.0486245081288425	0.0311295008387231	0.0141672589433783
mtarjeta_visa_consumo	0.0416303071294924	0.0230572524686784	0.00890784174366264
cdescubierto_preacordado_delta2	0.0357780604921958	0.00207954629938005	0.00099502487562189
ctrx_quarter_lag1	0.0304089079424867	0.00373836396715037	0.0050698886519782
ctarjeta_visa_transacciones	0.0193379941440897	0.012646031033345	0.0060649135276001
cpayroll_trx	0.0172153964384445	0.0195631010610817	0.00464344941956882
foto_mes	0.0157675872597745	0.0395471287179432	0.0206586117033878
mcuenta_corriente	0.0133235057607072	0.00860835711881086	0.0104240701255627
mcaja_ahorro_lag1	0.0124804752980893	0.00674106206371728	0.00521203506278133
Visa_status	0.0112533036804725	0.0040615932653302	0.00123193556029377
mprestamos_personales	0.0108091395731207	0.0196452251772983	0.00923951670220327
Master_status	0.0107979179888699	0.0025757646079848	0.000805496327884388
mpayroll_sobre_edad	0.00942315035863433	0.0214624722506612	0.00559109215825634
mpayroll	0.00783953566383592	0.0121252440514662	0.00416962805022507
mpasivos_margen	0.00759199616025652	0.00917386552648279	0.00658611703387823
ctrx_quarter_delta2	0.00733491119254487	0.00623297910251617	0.00928689883913765
mactivos_margen	0.00710883260184378	0.0104905595357957	0.00777067045723762
cprestamos_personales	0.00664275565021405	0.00246019576498616	0.00236910684671879
cdescubierto_preacordado	0.00629514462344933	0.0102777533319523	0.00341151385927505
Visa_msaldototal	0.00629050033748857	0.00483157094576086	0.00530679933665008
cdescubierto_preacordado_lag2	0.00622632020785981	0.000116979007770519	0.000900260601753139
cprestamos_personales_delta2	0.00596728144466888	0.00771158272753245	0.00307983890073442
ctrx_quarter_delta1	0.00589145100441279	0.0122253096604215	0.0093816631130064
cproductos	0.00575499007470178	0.0223028657864064	0.00710732054015636
mcomisiones	0.00553813022205885	0.00125445341434397	0.00587538497986259
ctarjeta_visa	0.0054372122240978	0.0020680643775126	0.00104240701255627
mrentabilidad_annual_lag2	0.00538039121417762	0.00249822336230668	0.00867093105899076
Visa_mpagominimo	0.00534479597693854	0.0126936895875423	0.00762852404643449
mcuentas_saldo_delta2	0.005326567117239	0.00965874576718373	0.00961857379767828
mcuenta_corriente_delta2	0.00509500480148695	0.0083350801196795	0.00705993840322199
mcuentas_saldo_lag1	0.00472420048566115	0.00410928481355581	0.00739161336176262
mprestamos_personales_lag1	0.00456355031464379	0.0013620489204504	0.00289031035299692
Visa_mpagominimo_delta1	0.00443144949169389	0.00385521099880747	0.00473821369343757
mprestamos_personales_delta2	0.00439848837233422	0.0158153496329838	0.00587538497986259
mtransferencias_recibidas	0.00423176543297396	0.00839239734573732	0.00611229566453447
Visa_status_delta2	0.00421717389245168	0.000726104201166254	0.000615967780146885
ccomisiones_mantenimiento_delta2	0.00402474568150455	0.00270102049770839	0.0033167495854063
cproductos_delta1	0.00400194842081992	0.00520377855927213	0.00274816394219379
mprestamos_personales_delta1	0.00385869609226917	0.00865061719008872	0.00492774224117508
cproductos_delta2	0.00382763696675438	0.0147077981706058	0.00431177446102819
mrentabilidad_annual_delta1	0.00382655329066147	0.00761702778119294	0.00895522388059702
chomebanking_transacciones	0.0037840075030455	0.00250309130125013	0.00668088130774698
numero_de_cliente	0.00377046803858516	0.00127803226676738	0.00933428097607202
cliente_edad	0.00376323146125571	0.00351452587998629	0.00890784174366264
Visa_Fvencimiento_lag2	0.00372686844026459	0.00109469236976702	0.00791281686804075
ctarjeta_visa_delta2	0.0036934856667748	0.000657236425662018	0.00066334991708126
mactivos_margen_lag1	0.00368846028955903	0.0061102136020528	0.00786543473110637
Master_Fvencimiento	0.0036871959992606	0.00548113757959154	0.00739161336176262
cproductos_lag1	0.00367589670198983	0.00382064117565853	0.00398009950248756
cliente_edad_lag1	0.00360107937046049	0.00535979346186969	0.00867093105899076
mrentabilidad_annual	0.00356763378536818	0.00213206883323736	0.00658611703387823
cliente_edad_lag2	0.00348968731441342	0.00355348258914527	0.00890784174366264
mrentabilidad_annual_delta2	0.0034818692710357	0.00430190725049349	0.00705993840322199
mprestamos_personales_lag2	0.00346467857398146	0.00169671064945515	0.00298507462686567
Visa_fechaalta	0.00344720834210265	0.00396347166452554	0.00563847429519071
mactivos_margen_delta2	0.00333741153549321	0.00219949674934419	0.00563847429519071
mcuenta_corriente_delta1	0.00331570696116051	0.00175331454461993	0.00540156361051883
mcomisiones_lag2	0.0032785629676489	0.00145252646476585	0.00691779199241886
mcuenta_corriente_lag1	0.00326249866951128	0.00340935279544165	0.00521203506278133
Visa_cconsumos	0.00318525865713456	0.0111181831611288	0.00563847429519071
ccallcenter_transacciones_delta2	0.00316182080116589	0.00410404734149478	0.00383795309168444
internet	0.00313007070803479	0.00845833393176252	0.00364842454394693
mcomisiones_mantenimiento	0.00312961152158428	0.00691730890450195	0.00620705993840322
mttarjeta_visa_debitos_automaticos_delta2	0.00311668695324692	0.00406063775826905	0.00649135276000948
mcuenta_corriente_lag2	0.00311443608114412	0.0127741085723735	0.00639658848614073
mcaja_ahorro_delta2	0.00311438360541838	0.00232362622293975	0.0060649135276001
ctarjeta_master_delta2	0.00310708816220579	2.55901683919195e-05	0.000189528547737503
Visa_mpagominimo_lag1	0.00305904394606433	0.00440902104378595	0.00435915659796257
Visa_Fvencimiento	0.00304800931933283	0.0014560607850832	0.0062544420753376
chomebanking_transacciones_delta2	0.00304049092212342	0.00227235548251822	0.0064439706230751
mcaja_ahorro_delta1	0.00300241734008768	0.00108567972098164	0.00478559583037195
Visa_mfinanciacion_limite	0.00295622191884532	0.00138649617570012	0.0045013030087657
Master_fechaalta	0.00292968999162501	0.00255267934622557	0.00540156361051883
mrentabilidad_annual_lag1	0.00279921954712613	0.00183293837336781	0.00630182421227197
ctrx_quarter_lag2	0.00279910433406216	0.00125004673191691	0.0048803601042407
cliente_antiguedad_lag1	0.00274523895302783	0.00706386111976737	0.00592276711679697
mcaja_ahorro_lag2	0.00271917874921441	0.00242680250888835	0.00426439232409382
ctarjeta_visa_transacciones_delta2	0.00270119485487899	0.00694239030497664	0.00435915659796257
mcomisiones_mantenimiento_delta2	0.00269562740654111	0.00112482383622168	0.00402748163942194
mcuentas_saldo_lag2	0.00267317027463732	0.00196990186411278	0.00559109215825634
mcomisiones_lag1	0.00266035155435005	0.00150467550622218	0.00554371002132196
ccallcenter_transacciones	0.00264741895547116	0.00688296146110412	0.00398009950248756
Visa_mconsumototal	0.00264238593731579	0.00632314980236791	0.0046908315565032
Visa_Fvencimiento_lag1	0.00260127480287404	0.000917707782508341	0.00483297796730633
mactivos_margen_lag2	0.00251657358451108	0.00931108043172383	0.00696517412935323
mcuentas_saldo_delta1	0.00250606592897004	0.0110842679395024	0.00710732054015636
Master_Fvencimiento_lag1	0.002502587914143	0.00172025320844737	0.00620705993840322
Master_mfinanciacion_limite	0.00245703152177921	0.00295297543595579	0.00492774224117508
mttarjeta_visa_debitos_automaticos_lag2	0.00245139949891857	0.00359478913300368	0.0050698886519782
mpasivos_margen_lag2	0.0024509684540677	0.00505722568412615	0.00573323856905946
Master_fechaalta_lag2	0.0024482277517791	0.00148075879494841	0.00592276711679697
mrentabilidad	0.00241888760402481	0.0028254554960065	0.00478559583037195
chomebanking_transacciones_delta1	0.00241426939682993	0.006904882693543	0.00582800284292822
mtarjeta_visa_consumo_lag2	0.00238898573081576	0.000769705149756447	0.0033167495854063
Master_fechaalta_lag1	0.0023779482923236	0.00132971015349881	0.00516465292584696
Visa_msaldototal_lag2	0.00237209719948903	0.00127864859521705	0.00454868514570007
cliente_antiguedad	0.00235748189953209	0.00373401073504925	0.00578062070599384
chomebanking_transacciones_lag1	0.00234733762406737	0.000642484795584623	0.00497512437810945
ccomisiones_mantenimiento_delta1	0.0022827342924691	0.00380019807568994	0.00241648898365316
mrentabilidad_lag2	0.00226961731704098	0.00220670660442027	0.00559109215825634
Visa_mpagominimo_lag2	0.00226680219278342	0.00222967638708025	0.00492774224117508
mtarjeta_master_consumo	0.00226426079302583	0.00483005783962051	0.0029376924899313
cliente_antiguedad_lag2	0.00225571542737184	0.00291894671487187	0.00582800284292822
Visa_msaldototal_lag1	0.00223680899562196	0.00101763943570854	0.00416962805022507
cpayroll_trx_lag1	0.00222876551724853	0.0014044185319024	0.00104240701255627
Master_msaldototal	0.00220766800758273	0.00616012234898385	0.00388533522861881
Visa_fechaalta_lag2	0.00220023252075179	0.00229354028824421	0.00540156361051883
mpayroll_delta2	0.00218909478975045	0.00444246313104572	0.00336413172234068
ctarjeta_visa_transacciones_delta1	0.00215187596724439	0.00635720161927169	0.0045013030087657
Master_Fvencimiento_lag2	0.00215150770828918	0.0019341917673439	0.00549632788438759
Master_fultimo_cierre	0.00215063568945051	0.00630150835928949	0.00473821369343757
mcomisiones_mantenimiento_lag2	0.00214872917290976	0.00255629285221098	0.00440653873489694
Visa_fechaalta_lag1	0.00211869729661573	0.00200884801518269	0.00511727078891258
Visa_mpagominimo_delta2	0.00211862476095999	0.00121942167479806	0.00388533522861881
chomebanking_transacciones_lag2	0.00208334538235721	0.00128202916336227	0.0045013030087657
mcomisiones_delta2	0.00207451840847651	0.00513294961872249	0.00511727078891258
mttarjeta_visa_debitos_automaticos_lag1	0.00206602010153883	0.00359633325353068	0.0050698886519782
mtransferencias_recibidas_lag1	0.00205754399477115	0.0108760723211813	0.00525941719971571
mtarjeta_visa_consumo_delta2	0.00205574914374588	0.00092008335254988	0.00336413172234068
mrentabilidad_delta2	0.00203281882257216	0.000733306797556089	0.00459606728263445
Visa_fultimo_cierre	0.00200043507586966	0.00219488352429963	0.00369580668088131
Visa_cconsumos_lag1	0.00199968106129013	0.000723599294533564	0.00431177446102819
mpasivos_margen_lag1	0.00199164191366793	0.00167675784074791	0.00407486377635631
mactivos_margen_delta1	0.00197977323943442	0.000708927510004788	0.00483297796730633
Visa_mfinanciacion_limite_lag2	0.0019648057404628	0.000821629171939401	0.00421701018715944
Master_mlimitecompra_lag2	0.00196376396657309	0.00136063215687285	0.00388533522861881
Visa_mconsumototal_lag2	0.00196078347342829	0.00135996171821669	0.00435915659796257
mpayroll_sobre_edad_lag2	0.00195474927339278	0.000761509433113135	0.00146884624496565
mpayroll_lag1	0.00194987666469755	0.00242983466009415	0.00284292821606254
mttarjeta_visa_debitos_automaticos	0.00191257038940854	0.00169568849445672	0.00426439232409382
Visa_fultimo_cierre_lag1	0.0019099202975638	0.00224875683367779	0.00416962805022507
thomebanking	0.00190097983612158	0.00316470537459425	0.00307983890073442
mttarjeta_visa_debitos_automaticos_delta1	0.00188700586266641	0.000715127087932639	0.00398009950248756
Visa_cconsumos_delta1	0.00188318459310275	0.00222131042125063	0.00459606728263445
Visa_mconsumototal_delta1	0.00187390799430019	0.000594671829334667	0.00426439232409382
Visa_mlimitecompra	0.00184861867334519	0.000697852734447243	0.00426439232409382
Master_mfinanciacion_limite_lag1	0.00182776688825316	0.000610838903228479	0.00355366027007818
Master_mlimitecompra_delta2	0.00182487449370509	0.00158933026441358	0.00478559583037195
Visa_cconsumos_lag2	0.00181712706596532	0.00190593040241639	0.00421701018715944
kmes_lag1	0.00173590163764235	0.00189465634292758	0.00307983890073442
Visa_mlimitecompra_lag1	0.00172964943075493	0.000887232518278221	0.00289031035299692
Visa_msaldototal_delta1	0.00172845980064249	0.00167798389884158	0.00398009950248756
Master_mfinanciacion_limite_lag2	0.00172551841936262	0.00338584521011948	0.00398009950248756
ccomisiones_otras_lag2	0.00170972829588089	0.0252239676712104	0.00525941719971571
Visa_cconsumos_delta2	0.00170909100792889	0.0049774830768762	0.00398009950248756
mrentabilidad_delta1	0.00169646147823128	0.000524757483251019	0.00364842454394693
mtransferencias_recibidas_lag2	0.00166509560773798	0.00160371104161227	0.00364842454394693
ccomisiones_otras	0.00165427078450953	0.0027989144397174	0.00383795309168444
ctarjeta_master	0.00164481183428809	0.000296582660999995	0.000615967780146885
mcomisiones_mantenimiento_lag1	0.00156355104016287	0.00191406804956979	0.00369580668088131
mrentabilidad_lag1	0.00155549829531857	0.00121826094488054	0.00350627813314381
Visa_mfinanciacion_limite_delta1	0.00152679908560664	0.000650185601802614	0.00336413172234068
Visa_mconsumototal_delta2	0.00151870715434748	0.000824734569888147	0.00374318881781568
Visa_mlimitecompra_delta2	0.00151814963282336	0.000640658906055473	0.0031272210376688
Visa_mconsumototal_lag1	0.00151031706963244	0.00106797842476934	0.00402748163942194
Master_mlimitecompra	0.00150099394881595	0.000928822150899911	0.00350627813314381
ccallcenter_transacciones_delta1	0.00150046043122743	0.00137963737708574	0.00326936744847193
Visa_fultimo_cierre_lag2	0.00147044542863929	0.00776352192696845	0.00416962805022507
mpasivos_margen_delta2	0.00144217256484745	0.00114557444053453	0.00379057095475006
internet_lag1	0.00144100019975663	0.0136636935648734	0.0031272210376688
mtransferencias_recibidas_delta2	0.00144022585075482	0.00065292080675322	0.00326936744847193
Master_msaldototal_lag2	0.00143438224204792	0.0192024037443022	0.00360104240701256
mpasivos_margen_delta1	0.00143032324531872	0.00815382544527116	0.00407486377635631
cproductos_lag2	0.00142867315055291	0.000735202634425351	0.00322198531153755
kmes	0.00139337957147341	0.000383341778319861	0.00274816394219379
ccomisiones_otras_lag1	0.00136593960180186	0.00144231943215403	0.00369580668088131
mpayroll_lag2	0.00135126645538211	0.00172231137593614	0.00161099265576878
Master_mfinanciacion_limite_delta1	0.0013504384141482	0.000548224815858596	0.00326936744847193
mtarjeta_visa_consumo_delta1	0.00134437289114467	0.00228537294646529	0.0033167495854063
Visa_msaldototal_delta2	0.00134336915428696	0.0015523868508648	0.0031272210376688
mpayroll_sobre_edad_delta2	0.0013341900405174	0.00225847951395335	0.00265339966832504
mtarjeta_visa_consumo_lag1	0.00130895558374229	0.000488693690498177	0.00213219616204691
cprestamos_personales_delta1	0.00130375467542671	0.00109789411027856	0.000758114190950012
mcomisiones_delta1	0.00129867586447572	0.000220382292634206	0.0031272210376688
Master_mfinanciacion_limite_delta2	0.00128498414620355	0.000484777299332472	0.00274816394219379
