num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.925446797201272	410
64	64	0.8	0.924860221050069	223
64	256	0.5	0.925877098988614	263
64	256	0.8	0.926717462555987	247
64	512	0.5	0.926133382800372	208
64	512	0.8	0.927967811091217	201
64	1024	0.5	0.926492863765164	308
64	1024	0.8	0.927649424638426	190
64	2048	0.5	0.927233755569843	301
64	2048	0.8	0.927613361323689	188
128	64	0.5	0.925121958526036	270
128	64	0.8	0.924804724255825	284
128	256	0.5	0.923410775365107	156
128	256	0.8	0.926334361848316	153
128	512	0.5	0.925180297370643	142
128	512	0.8	0.928281742438034	182
128	1024	0.5	0.926366469336197	157
128	1024	0.8	0.928173590899908	199
128	2048	0.5	0.927291364698816	254
128	2048	0.8	0.927671124077006	260
256	64	0.5	0.921663029610324	190
256	64	0.8	0.923129834846149	304
256	256	0.5	0.92305870677491	96
256	256	0.8	0.925247623239369	129
256	512	0.5	0.924800960459398	187
256	512	0.8	0.927515656240951	155
256	1024	0.5	0.925107978710738	164
256	1024	0.8	0.925797675202803	200
256	2048	0.5	0.926574015824844	230
256	2048	0.8	0.927860235644381	198
384	64	0.5	0.922873743064821	391
384	64	0.8	0.92208918354038	150
384	256	0.5	0.924191455874864	182
384	256	0.8	0.926011443477379	256
384	512	0.5	0.923483708522387	147
384	512	0.8	0.926220142148605	186
384	1024	0.5	0.924952818123371	164
384	1024	0.8	0.926070512037619	231
384	2048	0.5	0.926574015824844	230
384	2048	0.8	0.927860235644381	198
512	64	0.5	0.922900934573696	318
512	64	0.8	0.921773869574468	247
512	256	0.5	0.92092563275947	220
512	256	0.8	0.926221985640733	306
512	512	0.5	0.92142037995909	214
512	512	0.8	0.924350149822141	137
512	1024	0.5	0.925442111658782	220
512	1024	0.8	0.925669398875623	199
512	2048	0.5	0.926574015824844	230
512	2048	0.8	0.927860235644381	198
