num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.925947881405079	337
64	64	0.8	0.92612078560417	169
64	256	0.5	0.92948442902056	449
64	256	0.8	0.927329002663078	333
64	512	0.5	0.929573339109609	248
64	512	0.8	0.927264979717746	195
64	1024	0.5	0.929284794185626	245
64	1024	0.8	0.927793024993912	176
64	2048	0.5	0.930820039066671	311
64	2048	0.8	0.931060115510144	303
128	64	0.5	0.925084128531344	231
128	64	0.8	0.923808892852397	234
128	256	0.5	0.927505555440337	187
128	256	0.8	0.926702100121594	149
128	512	0.5	0.92887430993865	160
128	512	0.8	0.929775124685358	149
128	1024	0.5	0.930502190299084	235
128	1024	0.8	0.929091265918362	231
128	2048	0.5	0.93026230588604	160
128	2048	0.8	0.928368348161923	268
256	64	0.5	0.926798384179151	185
256	64	0.8	0.924795814043877	363
256	256	0.5	0.927047562865002	167
256	256	0.8	0.925633604403488	180
256	512	0.5	0.928470047477603	139
256	512	0.8	0.926838172884228	188
256	1024	0.5	0.927727504211227	175
256	1024	0.8	0.927604681548257	199
256	2048	0.5	0.929210132754477	221
256	2048	0.8	0.928167407520065	238
384	64	0.5	0.924532578730556	159
384	64	0.8	0.922175289985152	267
384	256	0.5	0.923836122767358	185
384	256	0.8	0.925586595354246	246
384	512	0.5	0.928675980910639	117
384	512	0.8	0.927333227332536	171
384	1024	0.5	0.928774530927269	224
384	1024	0.8	0.927377317519243	160
384	2048	0.5	0.92867874614883	185
384	2048	0.8	0.927127908396876	229
512	64	0.5	0.92449908862358	252
512	64	0.8	0.924606625664329	237
512	256	0.5	0.925272049510054	203
512	256	0.8	0.924092521797374	349
512	512	0.5	0.926548283747236	109
512	512	0.8	0.926768657868601	217
512	1024	0.5	0.928900195640602	154
512	1024	0.8	0.927885890909817	174
512	2048	0.5	0.92867874614883	185
512	2048	0.8	0.927127908396876	229
