num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.926840323625043	454
64	64	0.8	0.927215512679001	259
64	256	0.5	0.927120188773594	223
64	256	0.8	0.927806198281404	186
64	512	0.5	0.928099236717447	190
64	512	0.8	0.92735039485297	143
64	1024	0.5	0.929037804646675	317
64	1024	0.8	0.928156116130786	161
64	2048	0.5	0.931546605401278	286
64	2048	0.8	0.93146495406248	307
128	64	0.5	0.925867612685377	290
128	64	0.8	0.925728390623692	186
128	256	0.5	0.927270548600213	305
128	256	0.8	0.92539998018246	159
128	512	0.5	0.928181694584051	203
128	512	0.8	0.927025632989906	189
128	1024	0.5	0.930320683136733	180
128	1024	0.8	0.928368962659299	182
128	2048	0.5	0.930700672951439	267
128	2048	0.8	0.930064668167577	180
256	64	0.5	0.925674929352005	205
256	64	0.8	0.926732863396465	202
256	256	0.5	0.926382446267965	199
256	256	0.8	0.926225288564127	219
256	512	0.5	0.927451287640845	166
256	512	0.8	0.926559306293912	147
256	1024	0.5	0.928393926615187	212
256	1024	0.8	0.927476174784561	166
256	2048	0.5	0.929968307297848	185
256	2048	0.8	0.928671756241181	227
384	64	0.5	0.925790454858639	291
384	64	0.8	0.924987614037271	206
384	256	0.5	0.924294076936608	177
384	256	0.8	0.925541660233647	171
384	512	0.5	0.926467170093642	133
384	512	0.8	0.926706670445826	150
384	1024	0.5	0.926045010396527	156
384	1024	0.8	0.927046257058078	184
384	2048	0.5	0.928728289999747	257
384	2048	0.8	0.928281857656292	284
512	64	0.5	0.926536838733613	250
512	64	0.8	0.924775535630478	190
512	256	0.5	0.925715255742286	184
512	256	0.8	0.927502905420405	192
512	512	0.5	0.925625001440228	161
512	512	0.8	0.925658645171548	181
512	1024	0.5	0.925731693547086	148
512	1024	0.8	0.926009830421768	135
512	2048	0.5	0.928728289999747	257
512	2048	0.8	0.928281857656292	284
