num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.92789714389301	322
64	64	0.8	0.928504344112385	467
64	256	0.5	0.928084949653462	238
64	256	0.8	0.9276968945607	243
64	512	0.5	0.930042354231621	231
64	512	0.8	0.930157610895653	280
64	1024	0.5	0.930772991611343	336
64	1024	0.8	0.930723178917824	231
64	2048	0.5	0.930307509849241	213
64	2048	0.8	0.930872002501004	386
128	64	0.5	0.926263233777077	242
128	64	0.8	0.923520155897984	219
128	256	0.5	0.925902869472308	263
128	256	0.8	0.926179892570496	208
128	512	0.5	0.928181579365793	206
128	512	0.8	0.927505939501197	180
128	1024	0.5	0.929146532276091	243
128	1024	0.8	0.929055010573195	218
128	2048	0.5	0.929866876824769	269
128	2048	0.8	0.929770784797642	259
256	64	0.5	0.925161286358082	227
256	64	0.8	0.924961497898803	309
256	256	0.5	0.928692725964127	228
256	256	0.8	0.92577017644524	220
256	512	0.5	0.925389648945331	206
256	512	0.8	0.923906943589909	126
256	1024	0.5	0.929250075083898	195
256	1024	0.8	0.927391297334541	127
256	2048	0.5	0.929504861058303	204
256	2048	0.8	0.929301539239114	221
384	64	0.5	0.923219551463003	266
384	64	0.8	0.923742411917562	288
384	256	0.5	0.92486125801439	174
384	256	0.8	0.924446241849268	225
384	512	0.5	0.926270223684726	152
384	512	0.8	0.925164512469304	140
384	1024	0.5	0.927274389208812	136
384	1024	0.8	0.926215610230459	190
384	2048	0.5	0.928749797407896	164
384	2048	0.8	0.929544880199896	207
512	64	0.5	0.923457361947404	308
512	64	0.8	0.923703391334204	216
512	256	0.5	0.926409868213357	574
512	256	0.8	0.924490716096835	450
512	512	0.5	0.925089851038155	151
512	512	0.8	0.925230801373709	193
512	1024	0.5	0.925837003034849	138
512	1024	0.8	0.925852749530102	170
512	2048	0.5	0.928749797407896	164
512	2048	0.8	0.929544880199896	207
